"Sample_id","Coverage","Mean_depth"
"EHC-C19-4612J-L2","99.7927","408.801"
"EHC-C19-1443O-L3","99.9398","201.744"
"EHC-C19-1499S-L2","99.9532","46.7076"
"EHC-C19-1524R-L3","99.9699","59.355"
"EHC-C19-1526T-L2","99.9465","329.664"
"EHC-C19-1532Z-L2","100","2902.17"
"EHC-C19-1547O-L2","99.9933","1922.44"
"EHC-C19-1554V-L2","99.9231","98.5196"
"EHC-C19-1618H-L2","99.9064","328.809"
"EHC-C19-1622L-L3","99.9799","709.03"
"EHC-C19-1844Z-L2","99.9799","2173.9"
"EHC-C19-1906J-L2","99.99","7825.98"
"EHC-C19-1916T-L2","99.9799","1615.92"
"EHC-C19-2055C","99.9532","3896.54"
"EHC-C19-2058F","99.99","13690.2"
"EHC-C19-2060H","99.9933","34666.2"
"EHC-C19-2062J-L2","99.7793","70.2765"
"EHC-C19-2064L-L2","99.9933","8388.23"
"EHC-C19-2086H-L2","99.9866","4686.7"
"EHC-C19-2123S-L2","99.9097","28.1428"
"EHC-C19-2197O-L2","99.8763","244.19"
"EHC-C19-2232X","99.9732","3149.49"
"EHC-C19-2304R-L2","99.9197","325.328"
"EHC-C19-2338Z-L2","99.9799","790.851"
"EHC-C19-2377M","99.9866","7396.6"
"EHC-C19-2392B-L2","99.99","5127.84"
"EHC-C19-2399I-L2","99.9967","3799.94"
"EHC-C19-2498D","99.9532","2733.38"
"EHC-C19-2520Z","99.99","7997.43"
"EHC-C19-2597Y-L2","99.9866","461.814"
"EHC-C19-2619U-L2","99.8763","877.888"
"EHC-C19-2625A-L2","70.7554","4.15671"
"EHC-C19-2640P-L2","99.9866","2161.44"
"EHC-C19-2641Q-L5","99.9431","194.705"
"EHC-C19-2642R-L2","99.0436","837.872"
"EHC-C19-2652Z-L2","99.883","227.204"
"EHC-C19-2661I-L2","99.9866","2262.55"
"EHC-C19-2674V-L2","44.2364","0.802796"
"EHC-C19-2682D-L2","99.9933","18894.6"
"EHC-C19-2692N-L2","99.9732","323.442"
"EHC-C19-3538B-L2","99.8696","317.498"
"EHC-C19-3545I-L2","99.9666","5263.88"
"EHC-C19-3560X-L2","99.9799","6319.71"
"EHC-C19-3562Z-L2","99.8963","170.882"
"EHC-C19-3606R-L3","96.6291","27.2635"
"EHC-C19-3607S-L2","99.903","237.485"
"EHC-C19-3614Z-L2","99.7024","76.2578"
"EHC-C19-3639Y-L2","46.6308","3.21296"
"EHC-C19-3820X-L2","99.8328","1105.33"
"EHC-C19-3876B-L2","99.7224","46.9056"
